country,dep_var,period,gap,positive_v_sh,positive_n_sh,negative_v_sh,negative_n_sh,int_coef_n,int_coef_v,pci_w_coef_n,pci_w_coef_v
AUT,diff_exp_val_total_log,long,Yes,0.000754278650577266,0.0354552780016116,0.999245721349423,0.964544721998388,20.0572553102763,20.2185760576699,0.456217960368881,0.434257002758008
BEL,diff_exp_val_total_log,long,Yes,0.00657844202256757,0.0298146655922643,0.993421557977432,0.970185334407736,21.6026470461082,21.6867529291222,0.346116367833109,0.317802305749797
DEU,diff_exp_val_total_log,long,Yes,6.1997049899143e-05,0.0128824476650564,0.999938002950101,0.987117552334944,22.0530356202349,22.1362321463037,0.726297903164067,0.745138636610402
ESP,diff_exp_val_total_log,long,Yes,0.00326556940932503,0.0346494762288477,0.996734430590675,0.965350523771152,20.8532981733405,20.9466484791703,0.640687439686122,0.62563303884795
FIN,diff_exp_val_total_log,long,Yes,0.00237758991969494,0.0778588807785888,0.997622410080305,0.922141119221411,20.3056737280959,20.6521352141994,0.228788721224609,0.154656548818945
FRA,diff_exp_val_total_log,long,Yes,0.00168039411346089,0.0112812248186946,0.998319605886539,0.988718775181305,21.642033872753,21.6874998059064,0.485849119433888,0.45918387366912
GRC,diff_exp_val_total_log,long,Yes,0.00977938968887239,0.0954323001631321,0.990220610311128,0.904567699836868,18.5148009527584,18.7894541814394,-0.455340990968891,-0.489144673848576
IRL,diff_exp_val_total_log,long,Yes,0.0144710446195396,0.0964343598055105,0.98552895538046,0.903565640194489,21.0387355802717,21.2158088883444,1.28543625891381,1.36804371143123
ITA,diff_exp_val_total_log,long,Yes,0.000464370512382603,0.0273972602739726,0.999535629487617,0.972602739726027,21.2866647206966,21.426257585901,0.200153479939494,0.171987211394789
NLD,diff_exp_val_total_log,long,Yes,0.0214437132306677,0.0265700483091787,0.978556286769332,0.973429951690821,21.7974751723317,21.8117355262658,-0.141330771551357,-0.150293771288082
PRT,diff_exp_val_total_log,long,Yes,0.00208894573417898,0.0896607431340872,0.997911054265821,0.910339256865913,19.2648026858894,19.7119084888896,0.165596325919181,0.134228458801028
RdW,diff_exp_val_total_log,long,Yes,0.00608503452724463,0.00483091787439614,0.993914965472755,0.995169082125604,24.8055757450535,24.8029507566939,-0.409153245224106,-0.405252268822902
