country,dep_var,period,gap,positive_v_sh,positive_n_sh,negative_v_sh,negative_n_sh,int_coef_n,int_coef_v,pci_w_coef_n,pci_w_coef_v
AUT,diff_exp_val_total_log,long,Yes,0.990400234870155,0.875201288244767,0.00959976512984478,0.124798711755234,20.4160721328665,20.7958512500968,0.429154500578352,0.448085956462994
BEL,diff_exp_val_total_log,long,Yes,0.992616958443692,0.87037037037037,0.00738304155630846,0.12962962962963,21.6601665865714,22.1749115095746,0.247791532073009,0.277379003119848
DEU,diff_exp_val_total_log,long,Yes,0.995696971050036,0.926731078904992,0.00430302894996434,0.0732689210950081,22.3528451130173,22.6545775406235,0.72881316828813,0.741143441529491
ESP,diff_exp_val_total_log,long,Yes,0.992118356272873,0.917874396135266,0.00788164372712717,0.0821256038647343,21.2098969588288,21.4341144401506,0.670442972011591,0.631343309229751
FIN,diff_exp_val_total_log,long,Yes,0.978850979047506,0.765940274414851,0.0211490209524937,0.234059725585149,20.4252399710058,21.0406461823581,0.572716142636271,0.302787459378859
FRA,diff_exp_val_total_log,long,Yes,0.983896516745595,0.852657004830918,0.0161034832544045,0.147342995169082,21.5643700999874,21.9199092218366,0.586160149542676,0.520981918840814
GRC,diff_exp_val_total_log,long,Yes,0.964103409075637,0.80048465266559,0.0358965909243627,0.19951534733441,18.6721834181525,19.2741358763027,-0.36801230564918,-0.26338366119709
IRL,diff_exp_val_total_log,long,Yes,0.983894116480889,0.723832528180354,0.0161058835191109,0.276167471819646,20.5647331338613,21.6283165943743,1.04665634403796,1.37795761288612
ITA,diff_exp_val_total_log,long,Yes,0.988931875362334,0.904991948470209,0.0110681246376665,0.0950080515297907,21.5205379334677,21.7709478846343,0.286548878599821,0.21692459801221
NLD,diff_exp_val_total_log,long,Yes,0.987799563081965,0.883252818035427,0.0122004369180352,0.116747181964573,21.995605097563,22.3920488948044,-0.231307681758572,-0.253876006477717
PRT,diff_exp_val_total_log,long,Yes,0.983233922214471,0.863013698630137,0.0167660777855287,0.136986301369863,19.7333955040742,20.0649214252479,0.183569901361383,0.276971575039439
RdW,diff_exp_val_total_log,long,Yes,0.998695009976312,0.966183574879227,0.00130499002368844,0.0338164251207729,25.2330604984352,25.3587872049807,-0.44592317462934,-0.478944055597575
