year,hs_eci,locationcode,complexity_harv_rank_simple,complexity_harv_rank_normed,complexity_harv_rank_common
2000,-0.31988305,CUB,141,0.608695652173913,126
2001,-0.47735444,CUB,157,0.678260869565217,140
2002,-0.4570225,CUB,163,0.704347826086957,146
2003,-0.16193064,CUB,134,0.578260869565217,119
2004,0.026356295,CUB,119,0.51304347826087,105
2005,0.24470022,CUB,99,0.426086956521739,88
2006,-0.55978435,CUB,175,0.753246753246753,158
2007,-0.60727,CUB,166,0.714285714285714,149
2008,-0.20063812,CUB,135,0.58008658008658,118
2009,0.13050653,CUB,115,0.493506493506494,100
2010,-0.10627706,CUB,131,0.562770562770563,115
2011,-0.32217398,CUB,148,0.630901287553648,128
2012,0.1735447,CUB,103,0.435897435897436,88
2013,-0.053797893,CUB,124,0.523404255319149,106
2014,-0.23563795,CUB,139,0.58974358974359,121
2015,-0.5423539,CUB,167,0.70940170940171,147
2016,-0.45988786,CUB,158,0.670940170940171,140
1995,0.8543566,CXR,38,0.169724770642202,36
1996,0.8380969,CXR,36,0.163551401869159,36
1997,0.39421883,CXR,73,0.336448598130841,71
1998,0.51098335,CXR,66,0.303738317757009,65
1999,0.66647494,CXR,49,0.223255813953488,48
2000,0.49751726,CXR,78,0.334782608695652,66
2001,0.4812272,CXR,77,0.330434782608696,66
2002,0.4618941,CXR,77,0.330434782608696,66
2003,0.9899387,CXR,39,0.165217391304348,34
2004,0.07155201,CXR,117,0.504347826086957,103
2005,1.7240827,CXR,8,0.0304347826086957,8
2006,0.6351179,CXR,68,0.29004329004329,59
2007,1.4866059,CXR,15,0.0606060606060606,15
2008,1.1299391,CXR,33,0.138528138528139,29
2009,0.9700825,CXR,48,0.203463203463203,40
2010,1.1517699,CXR,31,0.12987012987013,28
2011,1.2453097,CXR,30,0.124463519313305,24
2012,1.0400977,CXR,43,0.17948717948718,36
2013,1.0807164,CXR,37,0.153191489361702,33
2014,0.8707551,CXR,51,0.213675213675214,43
2015,0.62418777,CXR,72,0.303418803418803,61
2016,0.7819791,CXR,62,0.260683760683761,53
1995,1.2037157,CYM,18,0.0779816513761468,18
1996,0.3190738,CYM,77,0.355140186915888,75
1997,0.28215894,CYM,82,0.378504672897196,80
1998,0.9110031,CYM,36,0.163551401869159,36
1999,0.9203469,CYM,36,0.162790697674419,35
2000,0.6330282,CYM,66,0.282608695652174,56
2001,0.7591098,CYM,59,0.252173913043478,51
2002,0.73542583,CYM,52,0.221739130434783,45
2003,0.2915361,CYM,93,0.4,82
2004,0.40691045,CYM,75,0.321739130434783,64
2005,0.7059691,CYM,56,0.239130434782609,49
2006,1.5782456,CYM,10,0.038961038961039,9
2007,0.81427556,CYM,59,0.251082251082251,49
2008,1.0535411,CYM,37,0.155844155844156,32
2009,0.99584633,CYM,46,0.194805194805195,38
2010,1.4401563,CYM,19,0.0779220779220779,18
2011,0.5992367,CYM,72,0.304721030042918,61
2012,1.2745253,CYM,26,0.106837606837607,23
2013,0.5071489,CYM,79,0.331914893617021,66
2014,1.0826461,CYM,34,0.141025641025641,30
2015,0.38936922,CYM,89,0.376068376068376,75
2016,0.12662074,CYM,110,0.465811965811966,96
1995,0.31611034,CYP,79,0.357798165137615,74
1996,0.21326254,CYP,88,0.406542056074766,86
1997,0.34059802,CYP,76,0.350467289719626,74
1998,0.3062944,CYP,82,0.378504672897196,80
1999,0.39949718,CYP,73,0.334883720930233,71
2000,0.3674949,CYP,92,0.395652173913043,79
2001,0.36182678,CYP,86,0.369565217391304,74
2002,0.42185318,CYP,80,0.343478260869565,69
2003,0.29517207,CYP,91,0.391304347826087,80
2004,0.60314494,CYP,57,0.243478260869565,50
2005,0.53763545,CYP,69,0.295652173913044,60
2006,0.67940843,CYP,65,0.277056277056277,56
2007,0.9101773,CYP,48,0.203463203463203,42
2008,0.9827703,CYP,41,0.173160173160173,35
2009,0.94556534,CYP,50,0.212121212121212,42
2010,0.8067699,CYP,53,0.225108225108225,43
2011,0.76034003,CYP,60,0.253218884120172,51
2012,0.72238755,CYP,66,0.277777777777778,57
2013,0.56780124,CYP,77,0.323404255319149,64
2014,0.72017074,CYP,67,0.282051282051282,57
2015,0.6385366,CYP,71,0.299145299145299,60
2016,0.6038298,CYP,74,0.311965811965812,63
1995,1.2932162,CZE,16,0.0688073394495413,16
1996,1.3361472,CZE,16,0.0700934579439252,16
1997,1.3772179,CZE,18,0.0794392523364486,18
1998,1.3054757,CZE,17,0.0747663551401869,17
1999,1.3723537,CZE,17,0.0744186046511628,16
2000,1.3366843,CZE,21,0.0869565217391304,16
2001,1.470508,CZE,17,0.0695652173913044,14
2002,1.5800763,CZE,11,0.0434782608695652,11
2003,1.4859552,CZE,14,0.0565217391304348,13
2004,1.4836643,CZE,15,0.0608695652173913,15
2005,1.5475774,CZE,11,0.0434782608695652,11
2006,1.4999104,CZE,14,0.0562770562770563,13
2007,1.649999,CZE,9,0.0346320346320346,9
2008,1.6342474,CZE,10,0.038961038961039,10
2009,1.637329,CZE,14,0.0562770562770563,13
2010,1.687014,CZE,10,0.038961038961039,10
2011,1.6890228,CZE,13,0.0515021459227468,12
2012,1.6565727,CZE,10,0.0384615384615385,8
2013,1.6690767,CZE,11,0.0425531914893617,11
2014,1.7074898,CZE,10,0.0384615384615385,9
2015,1.7045561,CZE,11,0.0427350427350427,11
2016,1.6744443,CZE,11,0.0427350427350427,10
1995,2.26579,DEU,2,0.00458715596330275,2
1996,2.2510736,DEU,2,0.00467289719626168,2
1997,2.259205,DEU,2,0.00467289719626168,2
1998,2.3060215,DEU,2,0.00467289719626168,2
1999,2.3310485,DEU,2,0.00465116279069768,2
2000,2.309753,DEU,3,0.00869565217391304,2
2001,2.2906556,DEU,3,0.00869565217391304,2
2002,2.2043762,DEU,2,0.00434782608695652,2
2003,2.2467449,DEU,2,0.00434782608695652,2
2004,2.2871149,DEU,2,0.00434782608695652,2
2005,2.105761,DEU,2,0.00434782608695652,2
2006,2.0791934,DEU,2,0.00432900432900433,2
2007,2.1655302,DEU,2,0.00432900432900433,2
2008,2.1141424,DEU,2,0.00432900432900433,2
2009,2.1677918,DEU,3,0.00865800865800866,3
2010,2.0403266,DEU,3,0.00865800865800866,3
2011,2.0936959,DEU,5,0.0171673819742489,4
2012,1.956355,DEU,4,0.0128205128205128,4
2013,1.9749265,DEU,3,0.00851063829787234,3
2014,2.0516627,DEU,3,0.00854700854700855,3
2015,2.1282477,DEU,3,0.00854700854700855,3
2016,2.0465415,DEU,3,0.00854700854700855,3
1995,0.65100694,DJI,50,0.224770642201835,48
1996,-0.26830545,DJI,125,0.579439252336449,123
1997,0.34015408,DJI,77,0.355140186915888,75
1998,0.4867193,DJI,67,0.308411214953271,66
1999,0.10359521,DJI,100,0.46046511627907,97
2000,0.118703045,DJI,107,0.460869565217391,94
2001,0.2426474,DJI,99,0.426086956521739,87
2002,0.4681603,DJI,74,0.317391304347826,63
2003,-0.40941015,DJI,159,0.686956521739131,142
2004,-0.076485604,DJI,126,0.543478260869565,112
2005,0.31265676,DJI,89,0.382608695652174,78
2006,-0.22059424,DJI,143,0.614718614718615,128
2007,-0.7978197,DJI,185,0.796536796536797,168
2008,-0.8519322,DJI,191,0.822510822510823,173
2009,-0.3190748,DJI,145,0.623376623376623,127
2010,-0.21982549,DJI,144,0.619047619047619,127
2011,-0.5404787,DJI,166,0.708154506437768,146
2012,-0.14697574,DJI,130,0.551282051282051,110
2013,-0.3138742,DJI,149,0.629787234042553,129
2014,-0.10945778,DJI,131,0.555555555555556,114
2015,-0.43225783,DJI,160,0.67948717948718,140
2016,0.22466144,DJI,107,0.452991452991453,93
1995,0.8520925,DMA,39,0.174311926605505,37
1996,0.505612,DMA,62,0.285046728971963,61
1997,0.8901196,DMA,39,0.177570093457944,39
1998,0.7783251,DMA,46,0.210280373831776,46
1999,0.90426385,DMA,37,0.167441860465116,36
2000,0.9136176,DMA,47,0.2,38
2001,0.96740705,DMA,45,0.191304347826087,37
2002,0.3390384,DMA,92,0.395652173913043,79
2003,0.29659778,DMA,90,0.38695652173913,79
2004,0.49943563,DMA,67,0.28695652173913,56
2005,0.14698492,DMA,106,0.456521739130435,95
2006,0.17356437,DMA,110,0.471861471861472,96
2007,0.56383425,DMA,79,0.337662337662338,69
2008,0.43399096,DMA,85,0.363636363636364,73
2009,0.48398268,DMA,82,0.350649350649351,71
2010,0.49010974,DMA,78,0.333333333333333,68
2011,-0.10560195,DMA,128,0.545064377682404,111
2012,0.40684825,DMA,88,0.371794871794872,74
2013,0.14329116,DMA,107,0.451063829787234,91
2014,0.39954752,DMA,87,0.367521367521368,75
2015,0.32414973,DMA,95,0.401709401709402,81
2016,0.31948638,DMA,95,0.401709401709402,82
1995,1.3433472,DNK,13,0.055045871559633,13
1996,1.4261647,DNK,12,0.0514018691588785,12
1997,1.3987457,DNK,15,0.0654205607476636,15
1998,1.3609818,DNK,16,0.0700934579439252,16
1999,1.3652912,DNK,18,0.0790697674418605,17
2000,1.2503331,DNK,26,0.108695652173913,20
2001,1.2492877,DNK,27,0.11304347826087,22
2002,1.2889974,DNK,25,0.104347826086957,21
2003,1.3037263,DNK,20,0.0826086956521739,17
2004,1.2942504,DNK,23,0.0956521739130435,21
2005,1.199519,DNK,27,0.11304347826087,23
2006,1.2411159,DNK,30,0.125541125541126,25
2007,1.2487957,DNK,28,0.116883116883117,26
2008,1.1925122,DNK,28,0.116883116883117,24
2009,1.2962896,DNK,26,0.108225108225108,24
2010,1.1105585,DNK,34,0.142857142857143,29
2011,1.2199771,DNK,34,0.141630901287554,28
2012,1.1034709,DNK,37,0.153846153846154,32
2013,1.1240278,DNK,36,0.148936170212766,32
2014,1.1087267,DNK,32,0.132478632478632,28
2015,1.0854862,DNK,38,0.158119658119658,33
2016,1.1286615,DNK,36,0.14957264957265,33
1995,-0.7674633,DOM,169,0.770642201834862,163
1996,-0.78905404,DOM,166,0.771028037383178,164
1997,-0.9210711,DOM,175,0.813084112149533,173
1998,-0.85312283,DOM,169,0.785046728971963,167
1999,-0.7099074,DOM,161,0.744186046511628,158
2000,-0.7316376,DOM,178,0.769565217391304,161
2001,-0.55737555,DOM,163,0.704347826086957,146
2002,-0.45473117,DOM,162,0.7,145
2003,-0.47679827,DOM,166,0.717391304347826,149
2004,-0.5719468,DOM,164,0.708695652173913,148
2005,-0.4566972,DOM,155,0.669565217391304,139
2006,-0.37605947,DOM,154,0.662337662337662,139
2007,-0.29290715,DOM,143,0.614718614718615,127
2008,-0.30203545,DOM,148,0.636363636363636,130
2009,-0.47698745,DOM,158,0.67965367965368,140
2010,-0.3973674,DOM,158,0.67965367965368,140
2011,-0.38353923,DOM,152,0.648068669527897,132
2012,-0.35550177,DOM,151,0.641025641025641,131
2013,-0.35677025,DOM,151,0.638297872340426,131
2014,-0.3154378,DOM,151,0.641025641025641,133
2015,-0.32725197,DOM,149,0.632478632478633,130
2016,-0.36792687,DOM,153,0.64957264957265,135
1995,-0.42693463,DZA,146,0.665137614678899,140
1996,-0.23792139,DZA,122,0.565420560747664,120
1997,-0.58691937,DZA,147,0.682242990654206,145
1998,-0.70715,DZA,159,0.738317757009346,157
1999,-0.89734006,DZA,176,0.813953488372093,173
2000,-0.77253646,DZA,184,0.795652173913044,167
2001,-0.5051312,DZA,158,0.682608695652174,141
2002,-0.7653516,DZA,186,0.804347826086957,169
2003,-0.76537114,DZA,184,0.795652173913044,167
2004,-0.64229995,DZA,171,0.739130434782609,155
2005,-0.23788024,DZA,141,0.608695652173913,127
2006,-0.65065396,DZA,183,0.787878787878788,166
2007,-0.9856012,DZA,198,0.852813852813853,181
2008,-0.50526273,DZA,165,0.70995670995671,147
2009,-0.8693917,DZA,191,0.822510822510823,173
2010,-0.85715806,DZA,189,0.813852813852814,171
2011,-1.2576954,DZA,214,0.914163090128755,193
2012,-0.9186722,DZA,195,0.829059829059829,174
2013,-1.274622,DZA,218,0.923404255319149,196
2014,-1.3558912,DZA,219,0.931623931623932,198
2015,-1.4452221,DZA,222,0.944444444444444,201
2016,-0.7453507,DZA,178,0.756410256410256,159
1995,-0.9555143,ECU,183,0.834862385321101,177
1996,-1.1073515,ECU,185,0.85981308411215,183
1997,-1.1037037,ECU,188,0.873831775700935,186
1998,-1.0536941,ECU,186,0.864485981308411,184
1999,-0.9067325,ECU,178,0.823255813953488,175
2000,-0.98098665,ECU,196,0.847826086956522,178
2001,-0.8991979,ECU,195,0.843478260869565,178
2002,-1.0550749,ECU,202,0.873913043478261,185
2003,-0.92124426,ECU,197,0.852173913043478,180
2004,-1.1665058,ECU,209,0.904347826086956,192
2005,-1.0674777,ECU,199,0.860869565217391,182
2006,-0.93321675,ECU,194,0.835497835497836,177
2007,-1.0583621,ECU,203,0.874458874458875,185
2008,-0.95462185,ECU,196,0.844155844155844,178
2009,-1.0844514,ECU,209,0.900432900432901,191
2010,-0.71108365,ECU,181,0.779220779220779,163
2011,-0.80162436,ECU,187,0.798283261802575,166
2012,-0.78775996,ECU,185,0.786324786324786,164
2013,-1.0767744,ECU,203,0.859574468085106,181
2014,-1.137058,ECU,205,0.871794871794872,184
2015,-1.0633397,ECU,202,0.858974358974359,181
2016,-1.0775958,ECU,201,0.854700854700855,180
1995,-0.33938712,EGY,141,0.642201834862385,135
1996,-0.51690537,EGY,144,0.668224299065421,142
1997,-0.34017253,EGY,128,0.593457943925234,126
1998,-0.5098492,EGY,145,0.672897196261682,143
1999,-0.41700247,EGY,137,0.632558139534884,134
2000,-0.48232993,EGY,158,0.682608695652174,142
2001,-0.4119701,EGY,147,0.634782608695652,132
2002,-0.3551793,EGY,158,0.682608695652174,141
2003,-0.34560072,EGY,154,0.665217391304348,137
2004,-0.33964306,EGY,150,0.647826086956522,135
2005,-0.2992464,EGY,147,0.634782608695652,132
2006,-0.19213383,EGY,140,0.601731601731602,125
2007,-0.2813306,EGY,140,0.601731601731602,124
2008,-0.17544976,EGY,133,0.571428571428571,117
2009,-0.31941923,EGY,146,0.627705627705628,128
2010,-0.31517875,EGY,151,0.649350649350649,133
2011,-0.31081665,EGY,146,0.622317596566524,126
2012,-0.22778004,EGY,138,0.585470085470086,118
2013,-0.1653844,EGY,134,0.565957446808511,115
2014,-0.1589293,EGY,134,0.568376068376068,116
2015,-0.21952967,EGY,139,0.58974358974359,121
2016,-0.12697057,EGY,132,0.55982905982906,114
1995,0.4817072,ERI,70,0.31651376146789,65
1996,-0.27373326,ERI,128,0.593457943925234,126
1997,-0.77553463,ERI,167,0.775700934579439,165
1998,0.18362798,ERI,99,0.457943925233645,97
1999,0.2772319,ERI,85,0.390697674418605,82
2000,-0.13975541,ERI,130,0.560869565217391,116
2001,0.7120707,ERI,60,0.256521739130435,52
2002,0.68889207,ERI,54,0.230434782608696,46
2003,0.58993113,ERI,66,0.282608695652174,56
2004,0.44072354,ERI,72,0.308695652173913,61
2005,-0.14033386,ERI,133,0.573913043478261,119
2006,0.25384173,ERI,98,0.41991341991342,85
2007,-0.64334595,ERI,171,0.735930735930736,154
2008,0.107417025,ERI,115,0.493506493506494,100
2009,0.25571615,ERI,102,0.437229437229437,87
2010,-0.10816417,ERI,132,0.567099567099567,116
2011,-0.9151577,ERI,193,0.824034334763949,172
2012,-0.85642344,ERI,190,0.807692307692308,169
2013,-1.5191866,ERI,227,0.961702127659574,205
2014,-2.2126114,ERI,233,0.991452991452991,212
2015,-1.4999706,ERI,226,0.961538461538461,205
2016,-1.2215977,ERI,216,0.918803418803419,195
1995,0.7116732,ESH,45,0.201834862385321,43
1996,0.083824486,ESH,98,0.453271028037383,96
1997,1.1683065,ESH,25,0.11214953271028,25
1998,0.60115486,ESH,57,0.261682242990654,57
1999,0.47957438,ESH,67,0.306976744186047,65
2000,0.7712084,ESH,59,0.252173913043478,49
2001,-0.38527673,ESH,146,0.630434782608696,131
2002,1.3937074,ESH,18,0.0739130434782609,16
2003,1.1569871,ESH,25,0.104347826086957,21
2004,1.065648,ESH,35,0.147826086956522,32
2005,1.1891642,ESH,28,0.117391304347826,24
2006,1.2885569,ESH,25,0.103896103896104,21
2007,1.4875122,ESH,14,0.0562770562770563,14
2008,0.84658355,ESH,52,0.220779220779221,45
2009,1.3051782,ESH,24,0.0995670995670996,22
2010,1.8981255,ESH,4,0.012987012987013,4
2011,2.2070863,ESH,3,0.00858369098712446,3
2012,2.1204512,ESH,2,0.00427350427350427,2
2013,1.3214681,ESH,21,0.0851063829787234,19
2014,1.0403591,ESH,37,0.153846153846154,32
2015,0.716669,ESH,63,0.264957264957265,54
2016,0.59206694,ESH,75,0.316239316239316,64
1995,1.1245831,ESP,23,0.100917431192661,23
1996,1.0965679,ESP,24,0.107476635514019,24
1997,1.1085707,ESP,28,0.126168224299065,28
1998,0.9667099,ESP,31,0.14018691588785,31
1999,0.99909675,ESP,33,0.148837209302326,32
2000,1.0401645,ESP,39,0.165217391304348,30
2001,1.0495604,ESP,41,0.173913043478261,34
2002,1.0065321,ESP,39,0.165217391304348,34
2003,0.9135153,ESP,45,0.191304347826087,38
2004,0.939366,ESP,42,0.178260869565217,35
2005,0.89907366,ESP,45,0.191304347826087,40
2006,0.85537404,ESP,54,0.229437229437229,47
2007,0.93364507,ESP,47,0.199134199134199,41
2008,0.8517317,ESP,51,0.216450216450216,44
2009,0.8170762,ESP,56,0.238095238095238,47
2010,0.7913693,ESP,54,0.229437229437229,44
2011,0.8161828,ESP,55,0.231759656652361,47
2012,0.77793837,ESP,60,0.252136752136752,52
2013,0.83946717,ESP,54,0.225531914893617,46
2014,0.79265875,ESP,57,0.239316239316239,47
2015,0.7132694,ESP,64,0.269230769230769,55
2016,0.7566932,ESP,63,0.264957264957265,54
1995,0.4859809,EST,67,0.302752293577982,62
1996,0.53734994,EST,58,0.266355140186916,57
1997,0.42211175,EST,70,0.322429906542056,68
1998,0.5427972,EST,62,0.285046728971963,61
1999,0.47047332,EST,68,0.311627906976744,66
2000,0.40801638,EST,85,0.365217391304348,73
2001,0.5283103,EST,71,0.304347826086957,60
2002,0.49457714,EST,69,0.295652173913044,59
2003,0.547239,EST,69,0.295652173913044,59
2004,0.5732526,EST,62,0.265217391304348,53
2005,0.63249075,EST,61,0.260869565217391,54
2006,0.6925567,EST,63,0.268398268398268,55
2007,0.8020321,EST,60,0.255411255411255,50
2008,0.7334109,EST,61,0.25974025974026,52
2009,0.7623807,EST,62,0.264069264069264,52
2010,0.7619591,EST,57,0.242424242424242,47
2011,0.9095336,EST,48,0.201716738197425,40
2012,0.7592775,EST,62,0.260683760683761,54
2013,0.77324706,EST,58,0.242553191489362,50
2014,0.9098435,EST,48,0.200854700854701,42
2015,0.897054,EST,51,0.213675213675214,44
2016,1.0276198,EST,42,0.175213675213675,36
1995,-1.2407979,ETH,203,0.926605504587156,197
1996,-1.2119055,ETH,192,0.892523364485981,190
1997,-1.2152623,ETH,194,0.901869158878505,192
1998,-1.2062678,ETH,192,0.892523364485981,190
1999,-1.1645874,ETH,192,0.888372093023256,189
2000,-1.0683992,ETH,201,0.869565217391304,183
2001,-1.1021452,ETH,207,0.895652173913044,190
2002,-1.0341372,ETH,200,0.865217391304348,183
2003,-1.1119442,ETH,205,0.886956521739131,188
2004,-1.1495874,ETH,207,0.895652173913044,190
2005,-1.3181589,ETH,216,0.934782608695652,199
2006,-1.1030024,ETH,203,0.874458874458875,184
2007,-1.1317977,ETH,208,0.896103896103896,190
2008,-1.1190813,ETH,208,0.896103896103896,190
2009,-0.91276467,ETH,195,0.83982683982684,177
2010,-1.1389823,ETH,210,0.904761904761905,191
2011,-1.3841392,ETH,225,0.96137339055794,204
2012,-1.1785804,ETH,214,0.91025641025641,193
2013,-1.3607919,ETH,222,0.940425531914894,200
2014,-1.37711,ETH,220,0.935897435897436,199
2015,-1.1697423,ETH,211,0.897435897435897,190
2016,-1.0631131,ETH,200,0.85042735042735,179
1995,1.9852529,FIN,5,0.018348623853211,5
1996,2.03606,FIN,5,0.0186915887850467,5
1997,1.9345901,FIN,5,0.0186915887850467,5
1998,2.0513263,FIN,5,0.0186915887850467,5
1999,2.1178944,FIN,5,0.0186046511627907,5
2000,2.0755367,FIN,6,0.0217391304347826,5
2001,2.0790741,FIN,6,0.0217391304347826,5
2002,2.0481277,FIN,5,0.0173913043478261,5
2003,2.0520942,FIN,5,0.0173913043478261,5
2004,2.0137405,FIN,5,0.0173913043478261,5
2005,1.9302475,FIN,4,0.0130434782608696,4
2006,1.8938713,FIN,4,0.012987012987013,4
2007,1.9889102,FIN,5,0.0173160173160173,5
2008,1.8982122,FIN,5,0.0173160173160173,5
2009,2.0022645,FIN,4,0.012987012987013,4
2010,1.8237042,FIN,6,0.0216450216450216,6
2011,1.7556196,FIN,8,0.0300429184549356,7
2012,1.7190226,FIN,8,0.0299145299145299,7
2013,1.6828493,FIN,10,0.0382978723404255,10
2014,1.6911986,FIN,11,0.0427350427350427,10
2015,1.6151508,FIN,14,0.0555555555555556,14
2016,1.5618689,FIN,15,0.0598290598290598,14
1995,-1.0103658,FJI,187,0.853211009174312,181
1996,-0.8949191,FJI,173,0.803738317757009,171
1997,-0.9949898,FJI,181,0.841121495327103,179
1998,-1.1260364,FJI,188,0.873831775700935,186
1999,-1.094021,FJI,190,0.87906976744186,187
2000,-0.88082767,FJI,190,0.821739130434783,172
2001,-1.0492878,FJI,202,0.873913043478261,185
2002,-0.5141321,FJI,165,0.71304347826087,148
2003,-0.6098581,FJI,172,0.743478260869565,155
2004,-0.85162073,FJI,189,0.817391304347826,173
2005,-0.6498009,FJI,169,0.730434782608696,153
2006,-0.613535,FJI,179,0.770562770562771,162
2007,-0.44771138,FJI,153,0.658008658008658,137
2008,-0.61353624,FJI,174,0.748917748917749,156
2009,-0.83584255,FJI,187,0.805194805194805,169
2010,-0.4985172,FJI,163,0.701298701298701,145
2011,-0.37118053,FJI,151,0.643776824034335,131
2012,-0.30646217,FJI,146,0.61965811965812,126
2013,-0.3519632,FJI,150,0.634042553191489,130
2014,-0.31048334,FJI,150,0.636752136752137,132
2015,-0.37283087,FJI,154,0.653846153846154,134
2016,0.0017505669,FJI,127,0.538461538461538,110
1995,0.8765044,FLK,36,0.160550458715596,35
1996,0.68362546,FLK,46,0.210280373831776,46
1997,1.3883041,FLK,17,0.0747663551401869,17
1998,0.62712765,FLK,55,0.252336448598131,55
1999,0.834877,FLK,42,0.190697674418605,41
2000,0.64727026,FLK,65,0.278260869565217,55
2001,0.41396815,FLK,82,0.352173913043478,70
2002,0.23855641,FLK,102,0.439130434782609,89
2003,0.67773163,FLK,57,0.243478260869565,48
2004,0.2271486,FLK,98,0.421739130434783,85
2005,-1.1736898,FLK,203,0.878260869565217,186
2006,0.19377752,FLK,106,0.454545454545455,92
2007,-0.5699158,FLK,163,0.701298701298701,146
2008,-0.7116222,FLK,183,0.787878787878788,165
2009,-0.30435997,FLK,144,0.619047619047619,126
2010,-0.65434736,FLK,178,0.766233766233766,160
2011,-0.36824682,FLK,150,0.639484978540773,130
2012,-1.0640557,FLK,207,0.88034188034188,186
2013,-0.9995854,FLK,201,0.851063829787234,179
2014,-0.30987597,FLK,149,0.632478632478633,131
2015,0.37603542,FLK,90,0.38034188034188,76
2016,-0.9494316,FLK,192,0.816239316239316,172
1995,1.6920639,FRA,10,0.0412844036697248,10
1996,1.6646911,FRA,9,0.0373831775700935,9
1997,1.6747115,FRA,10,0.0420560747663551,10
1998,1.6316919,FRA,10,0.0420560747663551,10
1999,1.7004654,FRA,10,0.0418604651162791,10
2000,1.6374726,FRA,11,0.0434782608695652,9
2001,1.6335121,FRA,12,0.0478260869565217,11
2002,1.5273315,FRA,12,0.0478260869565217,12
2003,1.5361975,FRA,12,0.0478260869565217,11
2004,1.5611242,FRA,11,0.0434782608695652,11
2005,1.4611232,FRA,13,0.0521739130434783,13
2006,1.4429326,FRA,18,0.0735930735930736,15
2007,1.4781965,FRA,16,0.0649350649350649,16
2008,1.4904155,FRA,16,0.0649350649350649,15
2009,1.5514826,FRA,16,0.0649350649350649,15
2010,1.5008693,FRA,17,0.0692640692640693,16
2011,1.5630354,FRA,17,0.0686695278969957,15
2012,1.4351257,FRA,20,0.0811965811965812,17
2013,1.477559,FRA,16,0.0638297872340426,15
2014,1.422326,FRA,18,0.0726495726495727,15
2015,1.416122,FRA,19,0.0769230769230769,17
2016,1.3608785,FRA,21,0.0854700854700855,20
1995,-0.55980194,FRO,153,0.697247706422018,147
1996,-0.2692043,FRO,127,0.588785046728972,125
1997,-0.47658405,FRO,140,0.649532710280374,138
1998,-0.4784319,FRO,144,0.668224299065421,142
1999,-0.5987002,FRO,158,0.730232558139535,155
2000,-0.20080805,FRO,133,0.573913043478261,119
2001,-0.758154,FRO,180,0.778260869565217,163
2002,0.14088039,FRO,114,0.491304347826087,100
2003,-0.22409406,FRO,140,0.604347826086957,124
2004,-0.80215824,FRO,182,0.786956521739131,166
2005,-0.75940853,FRO,183,0.791304347826087,167
2006,-0.025457695,FRO,129,0.554112554112554,114
2007,-0.06391124,FRO,125,0.536796536796537,109
2008,-0.07152154,FRO,127,0.545454545454545,111
2009,-0.46459278,FRO,156,0.670995670995671,138
2010,-0.7715554,FRO,183,0.787878787878788,165
2011,-0.6378024,FRO,175,0.746781115879828,155
2012,-0.34541696,FRO,150,0.636752136752137,130
2013,-0.3922498,FRO,153,0.646808510638298,133
2014,-0.55265474,FRO,168,0.713675213675214,149
2015,-0.47815883,FRO,163,0.692307692307692,143
2016,-0.48576158,FRO,160,0.67948717948718,142
1995,-1.460251,FSM,211,0.963302752293578,205
1996,-1.5382584,FSM,208,0.967289719626168,206
1997,-1.2381827,FSM,195,0.906542056074766,193
1998,-1.7337301,FSM,209,0.97196261682243,207
1999,-1.3168087,FSM,200,0.925581395348837,197
2000,-1.6664257,FSM,226,0.978260869565217,208
2001,-1.6045902,FSM,227,0.982608695652174,209
2002,-1.4380302,FSM,223,0.965217391304348,206
2003,-1.1806074,FSM,207,0.895652173913044,190
2004,-1.2365415,FSM,215,0.930434782608696,198
2005,-1.1336739,FSM,201,0.869565217391304,184
2006,-0.46127552,FSM,160,0.688311688311688,144
2007,0.37736633,FSM,96,0.411255411255411,83
2008,-0.59731793,FSM,173,0.744588744588745,155
2009,-0.8120777,FSM,186,0.800865800865801,168
2010,-0.871723,FSM,191,0.822510822510823,172
2011,-0.48413298,FSM,162,0.690987124463519,142
2012,-0.7119704,FSM,178,0.756410256410256,157
2013,-0.011317633,FSM,122,0.514893617021277,104
2014,0.17677595,FSM,103,0.435897435897436,90
2015,-0.18275449,FSM,137,0.581196581196581,119
2016,-0.011063935,FSM,128,0.542735042735043,111
1995,-1.0813044,GAB,194,0.885321100917431,188
1996,-1.2000753,GAB,191,0.88785046728972,189
1997,-0.7568522,GAB,162,0.752336448598131,160
1998,-0.94406116,GAB,176,0.817757009345795,174
1999,-0.9515551,GAB,180,0.832558139534884,177
2000,-0.7688795,GAB,183,0.791304347826087,166
2001,-0.9234165,GAB,198,0.856521739130435,181
2002,-0.69247645,GAB,182,0.786956521739131,165
2003,-0.75612175,GAB,183,0.791304347826087,166
2004,-0.5565166,GAB,161,0.695652173913044,145
2005,-1.288414,GAB,212,0.917391304347826,195
2006,-1.5982512,GAB,223,0.961038961038961,204
2007,-1.1447564,GAB,209,0.900432900432901,191
2008,-0.92494315,GAB,194,0.835497835497836,176
2009,-0.47357824,GAB,157,0.675324675324675,139
2010,-0.87994254,GAB,193,0.831168831168831,174
2011,-0.75871885,GAB,183,0.781115879828326,163
2012,-1.1254013,GAB,211,0.897435897435897,190
2013,-1.5127804,GAB,226,0.957446808510638,204
2014,-1.6509428,GAB,231,0.982905982905983,210
2015,-1.118998,GAB,205,0.871794871794872,184
2016,-1.5621608,GAB,227,0.965811965811966,206
1995,1.7625378,GBR,7,0.0275229357798165,7
